City Id,City Name,Temprature,Cloudiness,Wind,Latitude,Longitude,Humidity
2122090,Pevek,42.08,0,1.57,69.7,170.31,76
2156643,Mount Gambier,51.8,90,9.17,-37.83,140.77,93
2312249,Mushie,76.19,99,6.31,-3.02,16.9,79
5909514,Brooks,77.0,9,11.41,50.58,-111.89,42
3366880,Hermanus,48.0,97,1.99,-34.42,19.23,84
4021858,Guerrero Negro,79.86,0,12.95,27.98,-114.06,52
5282297,Bethel,67.8,99,1.99,41.37,-73.41,80
5122534,Jamestown,68.36,1,5.1,42.1,-79.24,73
697945,Pasichna,53.01,23,1.12,48.57,24.43,93
546105,Nikolskoye,58.44,7,2.24,59.7,30.79,87
3471451,Arraial do Cabo,72.41,69,7.96,-22.97,-42.03,82
3663693,Jutaí,77.74,96,0.58,-5.18,-68.9,74
3671519,Puerto Carreño,79.14,99,1.95,6.19,-67.49,88
2998516,Arrondissement de Libourne,65.57,75,4.7,44.92,-0.25,88
921906,Domoni,74.16,65,1.21,-12.26,44.53,80
2729907,Longyearbyen,42.8,75,2.24,78.22,15.64,87
1015776,Bredasdorp,44.6,43,10.29,-34.53,20.04,87
2075265,Busselton,51.91,13,3.0,-33.65,115.33,80
2163355,Hobart,53.2,75,11.41,-42.88,147.33,87
5855927,Hilo,78.37,75,10.29,19.73,-155.09,66
2155415,New Norfolk,52.48,100,1.99,-42.78,147.06,91
1259385,Port Blair,83.71,89,14.23,11.67,92.75,78
3421719,Narsaq,46.4,89,11.41,60.92,-46.05,65
2129163,Mombetsu,73.4,20,2.24,44.35,143.35,88
2063056,Port Augusta,55.85,40,2.24,-32.5,137.77,87
6201424,Mataura,51.01,12,4.0,-46.19,168.86,70
2311968,Nioki,76.17,100,2.75,-2.72,17.68,82
3430863,Mar del Plata,44.55,0,17.22,-38.0,-57.56,45
3369157,Cape Town,46.47,40,11.41,-33.93,18.42,93
2206939,Bluff,51.01,38,4.0,-46.6,168.33,70
2264557,Ponta do Sol,64.69,0,4.74,32.67,-17.1,71
5106841,Albany,69.42,61,5.35,42.6,-73.97,65
3466165,Cidreira,59.77,36,8.59,-30.18,-50.21,89
1644605,Galesong,87.8,20,3.36,-5.32,119.37,48
964432,Port Alfred,50.92,95,20.02,-33.59,26.89,68
1651810,Airai,77.29,17,4.88,-8.93,125.41,33
3703239,Pedasí,77.18,100,6.44,7.53,-80.03,87
4032243,Vaini,71.6,40,13.87,-21.2,-175.2,68
2112309,Katsuura,89.55,40,4.7,35.13,140.3,75
3833367,Ushuaia,33.8,75,6.93,-54.8,-68.3,69
3698304,Chimbote,58.96,30,6.42,-9.09,-78.58,87
2071860,Esperance,57.2,90,20.8,-33.87,121.9,87
3874787,Punta Arenas,32.0,77,26.4,-53.15,-70.92,80
1489853,Tazovsky,48.79,100,9.33,67.47,78.7,94
5742974,North Bend,69.39,1,5.82,43.41,-124.22,63
5880054,Barrow,44.6,90,10.29,71.29,-156.79,93
4031574,Provideniya,58.01,4,9.6,64.38,-173.3,55
2221046,Yabassi,75.2,40,1.05,4.46,9.97,100
1056899,Sambava,67.57,56,11.79,-14.27,50.17,81
3372707,Ribeira Grande,73.44,16,17.36,38.52,-28.7,86
2022572,Khatanga,62.83,0,5.03,71.97,102.5,48
935215,Saint-Philippe,57.97,82,5.82,-21.36,55.77,67
4032369,Pangai,72.34,80,18.66,-19.8,-174.35,62
6165406,Thompson,59.0,75,11.41,55.74,-97.86,77
5856516,‘Āhuimanu,84.13,20,14.99,21.44,-157.84,66
1169607,Muzaffarabad,80.74,8,1.45,34.37,73.47,65
1735106,George Town,82.02,20,2.24,5.41,100.34,88
5848280,Kapaa,82.56,20,12.75,22.08,-159.32,70
3831208,Qaanaaq,34.75,2,1.25,77.48,-69.36,86
4016734,Bucerías,86.0,40,2.24,20.75,-105.33,74
239899,Bria,70.34,100,2.15,6.54,21.99,93
8079926,Labuhan,83.01,8,6.2,-6.88,112.21,72
1700994,Suclayin,85.77,100,3.56,15.76,121.55,64
4033375,Tevaitoa,78.82,100,14.88,-16.78,-151.5,78
2278158,Buchanan,75.2,89,11.68,5.88,-10.05,85
2094342,Kavieng,83.77,9,3.85,-2.57,150.8,70
1053384,Toamasina,60.8,40,6.13,-18.17,49.38,93
779554,Honningsvåg,49.57,87,24.74,70.98,25.97,72
4013679,Coahuayana Viejo,80.83,19,2.08,18.73,-103.68,79
4035715,Avarua,77.0,0,9.17,-21.21,-159.78,94
3897347,Calama,48.2,0,11.41,-22.47,-68.93,14
964420,Port Elizabeth,48.2,40,25.28,-33.92,25.57,76
523392,Naryan-Mar,49.5,100,17.05,67.67,53.09,68
2013406,Vidim,58.93,0,10.71,56.41,103.11,46
1625929,Sungai Penuh,72.9,41,0.25,-2.08,101.38,81
2035707,Mujiayingzi,80.19,0,1.19,42.12,118.78,51
2126123,Chokurdakh,41.38,92,6.31,70.63,147.92,72
1024552,Xai-Xai,68.97,0,14.09,-25.05,33.64,45
6170031,Tuktoyaktuk,51.8,90,5.82,69.45,-133.04,62
3566573,Cabañas,75.09,20,2.24,22.98,-82.92,94
3464008,Esmeraldas,67.37,0,2.24,-19.76,-44.31,72
3652764,Puerto Ayora,66.0,29,5.99,-0.74,-90.35,89
5546220,Saint George,106.84,1,1.01,37.1,-113.58,6
4030556,Rikitea,71.26,0,13.53,-23.12,-134.97,75
2121385,Severo-Kuril'sk,53.44,100,5.37,50.68,156.12,81
2013639,Verkhnevilyuysk,53.49,52,8.43,63.45,120.32,51
3424607,Tasiilaq,42.8,100,23.04,65.61,-37.64,81
1633419,Padang,80.22,99,3.24,-0.95,100.35,73
2509377,Zafra,62.01,0,5.99,38.42,-6.42,69
86049,Jalu,74.7,0,6.64,29.03,21.55,44
3932145,Pisco,61.92,100,5.82,-13.7,-76.22,77
2112802,Hasaki,86.0,75,11.41,35.73,140.83,79
3520994,Puerto Escondido,82.36,44,4.25,15.85,-97.07,76
57000,Hobyo,75.9,100,21.77,5.35,48.53,74
5600685,Meridian,94.44,1,5.23,43.61,-116.39,14
933726,Hukuntsi,46.06,0,12.08,-24.0,21.75,51
1510842,Barsovo,51.8,75,4.47,61.17,73.17,100
5746545,Portland,96.17,20,8.05,45.52,-122.68,23
3081752,Władysławowo,62.51,28,2.24,54.79,18.4,100
2123814,Leningradskiy,49.8,15,13.29,69.38,178.42,68
1539210,Purpe,52.0,100,11.5,64.48,76.69,95
3384937,Miracema do Tocantins,77.68,46,3.65,-9.56,-48.4,36
3429594,Reconquista,49.42,0,7.76,-29.15,-59.65,54
2312895,Mbandaka,70.74,12,3.09,0.05,18.26,94
2013176,Yakovlevka,82.29,13,3.87,44.42,133.48,55
3137469,Sørland,51.01,100,19.15,67.67,12.69,69
2409914,Bonthe,75.2,100,10.58,7.53,-12.51,94
583673,Aksay,44.6,0,6.71,47.26,39.87,75
3355672,Lüderitz,55.58,0,20.6,-26.65,15.16,69
525404,Monchegorsk,50.14,96,7.16,67.94,32.87,76
1649150,Bengkulu,82.26,9,1.66,-3.8,102.27,70
5563839,Fortuna,82.24,0,2.42,40.6,-124.16,36
6620339,Karratha,75.02,12,6.98,-20.74,116.85,58
556268,Ostrovnoy,56.32,100,16.98,68.05,39.51,87
3666881,Toro,68.23,100,3.24,4.61,-76.08,87
317106,Denizli Province,59.0,0,2.59,37.84,29.07,54
6167817,Torbay,49.28,5,8.05,47.67,-52.73,87
2155562,Nelson Bay,64.76,0,27.51,-32.72,152.15,52
2381334,Atar,98.35,3,6.6,20.52,-13.05,24
2125693,Evensk,61.38,34,11.41,61.95,159.23,59
3430443,Necochea,37.99,0,4.0,-38.55,-58.74,72
3839307,Rawson,47.1,80,32.08,-43.3,-65.1,52
569591,Chekhov,54.16,61,2.24,55.14,37.47,87
2074865,Carnarvon,68.0,0,14.99,-24.87,113.63,68
6137462,Saint-Augustin,60.24,94,9.08,51.23,-58.65,69
2630299,Hofn,53.1,100,7.78,64.25,-15.21,77
1621313,Ambulu,82.0,7,5.93,-8.35,113.61,73
4020109,Atuona,78.33,10,13.87,-9.8,-139.03,73
6541898,Castel Volturno,74.07,40,1.41,41.01,13.95,83
2121373,Seymchan,59.95,26,16.91,62.88,152.43,51
3920244,Chulumani,62.33,65,1.92,-16.41,-67.53,78
1847947,Shingū,93.2,20,14.99,33.73,135.98,56
2092164,Lorengau,85.96,7,6.46,-2.02,147.27,64
3141667,Roald,57.07,90,3.36,62.58,6.13,100
1726466,Basay,85.1,10,6.55,9.41,122.64,69
2057087,Kupang,89.6,20,4.7,-10.17,123.58,52
1106677,Bambous Virieux,70.38,40,9.17,-20.34,57.76,77
2373951,Canchungo,75.2,40,2.24,12.07,-16.03,100
2270258,Caniço,65.75,20,11.41,32.63,-16.85,64
933186,Orapa,58.17,0,7.67,-21.28,25.37,34
3647444,Calabozo,76.68,100,3.85,8.92,-67.43,92
2110227,Butaritari,82.08,77,11.54,3.07,172.79,72
5866583,Saint Paul Harbor,73.4,1,12.75,57.79,-152.41,33
1490256,Talnakh,62.6,40,11.18,69.49,88.4,59
100926,Umluj,81.73,65,2.24,25.02,37.27,73
1735106,George Town,82.02,20,2.24,5.41,100.34,88
2064735,Nhulunbuy,86.0,0,17.22,-12.23,136.77,45
1246294,Galle,79.9,88,9.31,6.04,80.22,84
6185377,Yellowknife,58.5,75,9.17,62.46,-114.35,51
2126710,Beringovskiy,59.56,100,11.36,63.05,179.32,65
526504,Milyutinskaya,52.52,92,6.76,48.63,41.67,65
3361934,Saldanha,42.8,3,3.36,-33.01,17.94,93
2446267,Dakoro,78.66,6,15.59,14.51,6.76,71
2037886,Dandong,74.39,100,5.95,40.13,124.39,91
934322,Mahébourg,69.8,40,9.17,-20.41,57.7,77
2985947,Porto-Vecchio,71.51,0,5.82,41.59,9.28,94
1510377,Belyy Yar,66.2,75,2.24,53.6,91.39,82
3893726,Constitución,45.61,0,8.46,-35.33,-72.42,62
5110365,Broome,69.3,90,3.36,42.25,-75.83,60
5571109,Lake Shasta,103.17,5,1.01,40.68,-122.37,18
5557293,Sitka,57.2,90,3.76,57.05,-135.33,93
3530599,Ciudad del Carmen,80.6,90,10.29,18.63,-91.83,83
3182769,Arzachena,68.0,0,1.12,41.08,9.39,82
1490796,Strezhevoy,51.8,90,8.95,60.73,77.59,93
933995,Souillac,69.8,40,9.17,-20.52,57.52,77
2348595,Azare,74.39,31,11.36,11.68,10.19,82
1282256,Hithadhoo,83.21,28,4.05,-0.6,73.08,70
3691582,Talara,61.61,16,12.88,-4.58,-81.27,89
753866,Zamość,50.0,0,2.24,50.72,23.25,100
5859699,College,66.61,75,5.82,64.86,-147.8,49
4297581,Lawrenceburg,73.22,40,3.94,38.04,-84.9,83
3166034,Sulmona,72.34,0,4.7,42.05,13.93,88
2961459,Skibbereen,60.8,90,5.82,51.55,-9.27,100
2038087,Chengde,80.26,74,2.55,40.97,117.94,58
3380290,Sinnamary,79.48,100,6.22,5.38,-52.95,82
1258406,Rāpar,81.77,100,11.83,23.57,70.63,86
608270,Shubarshi,60.82,5,7.85,48.59,57.19,57
3946937,Azángaro,42.3,99,2.89,-14.92,-70.22,65
2124286,Korsakov,62.6,75,8.95,46.63,142.78,82
4034551,Faanui,78.15,100,14.7,-16.48,-151.75,80
236524,Rafai,69.6,100,2.75,4.95,23.92,98
1863997,Fukuechō,86.0,75,5.82,32.69,128.84,84
2119932,Vanino,59.94,100,5.1,49.09,140.25,91
1272864,Dhārchula,73.33,18,1.99,29.85,80.53,70
4946620,Palmer,65.59,75,9.17,42.16,-72.33,68
3984997,San Quintín,76.05,0,6.76,30.48,-115.95,65
986717,Kruisfontein,46.0,21,3.0,-34.0,24.73,67
882100,Rusape,50.11,0,5.97,-18.53,32.13,52
1529376,Korla,73.99,39,5.26,41.76,86.15,80
4513583,Hamilton,76.64,75,3.36,39.18,-84.53,61
3463066,Forquilhinha,58.12,0,1.52,-28.75,-49.47,94
220448,Aketi,71.22,100,0.78,2.74,23.78,98
2194098,Ahipara,57.42,100,5.82,-35.17,173.17,57
4699066,Houston,90.39,1,14.99,29.76,-95.36,66
505665,Pozhva,49.68,100,8.86,59.09,56.08,89
2180815,Tuatapere,50.0,36,4.0,-46.13,167.68,71
2122783,Nogliki,57.54,97,19.15,51.83,143.17,78
3372964,Lagoa,73.36,13,22.01,39.05,-27.98,87
2142316,Yeppoon,73.4,0,8.05,-23.13,150.73,33
2015306,Tiksi,43.25,87,3.29,71.69,128.87,78
2126682,Bilibino,57.42,74,6.8,68.05,166.44,58
2022143,Khuzhir,55.81,0,8.5,53.19,107.34,71
3374210,São Filipe,78.21,15,5.97,14.9,-24.5,85
1701054,Marawi,84.0,35,4.0,8.0,124.29,76
6148373,Sioux Lookout,64.4,75,4.7,50.1,-91.92,68
1498161,Muzhi,48.92,73,1.92,65.37,64.67,70
162158,Baharly,77.68,69,11.81,38.44,57.43,49
5962442,Goderich,71.74,10,1.99,43.75,-81.72,79
3933024,Paramonga,58.08,17,8.01,-10.67,-77.83,88
1214488,Meulaboh,81.68,78,4.63,4.14,96.13,78
1170367,Miran Shah,85.6,10,5.39,33.01,70.07,54
2070998,Geraldton,60.8,40,25.28,-28.77,114.6,63
935214,Saint-Pierre,58.12,92,5.82,-21.34,55.48,67
2033196,Zhangjiakou,76.15,82,4.83,40.81,114.88,59
683890,Bran,63.0,36,5.37,45.52,25.35,80
477940,Ust-Tsilma,46.8,5,5.06,65.44,52.15,74
1273892,Dhadar,88.36,2,5.23,28.33,75.06,63
3515120,Tres Picos,81.1,54,2.08,15.87,-93.53,76
2084442,Vanimo,86.43,72,4.07,-2.67,141.3,61
3834601,Tartagal,59.02,0,3.27,-22.52,-63.8,47
3985710,Cabo San Lucas,87.94,5,11.41,22.89,-109.91,51
5364271,Laguna,106.3,1,9.17,38.42,-121.42,9
6457360,Arrondissement de Vierzon,64.0,100,2.24,47.21,2.06,93
1006984,East London,52.14,17,17.78,-33.02,27.91,64
5611730,Weiser,93.34,1,4.07,44.25,-116.97,22
2017155,Saskylakh,58.98,1,10.29,71.92,114.08,46
1835848,Seoul,82.4,90,3.36,37.57,126.98,78
3372472,Vila Franca do Campo,73.4,40,12.75,37.72,-25.43,83
5367788,Lompoc,76.08,1,12.75,34.64,-120.46,53
3461763,Guaxupé,67.41,44,5.97,-21.31,-46.71,55
2396518,Port-Gentil,74.95,100,12.37,-0.72,8.78,86
1337620,Funadhoo,82.06,100,5.68,6.15,73.27,74
3466704,Castro,58.23,100,8.81,-24.79,-50.01,95
3423146,Ilulissat,42.8,0,19.46,69.22,-51.1,56
1809062,Haimen,86.0,20,4.47,23.19,116.61,74
293842,Kiryat Gat,73.69,0,3.06,31.61,34.76,80
3654533,Machala,67.78,63,2.33,-3.27,-79.97,90
3572924,Alice Town,84.6,0,8.01,25.72,-79.3,69
6359626,Cortes,67.08,99,10.29,41.94,-1.44,72
229268,Mbarara,68.45,100,3.2,-0.61,30.65,75
2381972,Adrar,99.91,66,8.19,20.5,-10.07,17
3441702,Melo,43.36,0,5.44,-32.37,-54.18,70
3386213,Touros,71.6,40,2.24,-5.2,-35.46,94
1624545,Tayu,83.19,0,9.35,-6.54,111.05,68
2016307,Solnechnyy,58.17,100,2.89,50.72,136.63,94
1253237,Verāval,81.68,100,19.42,20.9,70.37,84
491019,Sol'-Iletsk,54.72,100,9.13,51.16,54.99,87
286621,Salalah,75.2,90,8.05,17.02,54.09,100
170062,Aleppo Governorate,70.09,0,10.56,36.25,37.5,55
3894426,Coyhaique,46.4,90,11.41,-45.58,-72.07,65
2636241,Tarbert,58.57,77,16.11,55.86,-5.42,87
5554428,Ketchikan,59.0,90,11.41,55.34,-131.65,100
4951594,Southbridge,64.0,51,4.68,42.08,-72.03,90
3883457,Lebu,43.93,36,8.97,-37.62,-73.65,74
158006,Kibaya,51.73,89,3.85,-5.3,36.57,98
1028434,Quelimane,62.28,0,4.56,-17.88,36.89,95
3466980,Caravelas,72.16,92,4.99,-17.71,-39.25,90
88533,Awjilah,75.07,0,6.46,29.11,21.29,43
4726206,San Antonio,95.76,1,10.29,29.42,-98.49,32
4132093,Springdale,81.57,75,17.22,36.19,-94.13,83
2287778,Jacqueville,74.1,80,11.86,5.21,-4.41,89
1812256,Dongsheng,69.76,62,7.34,39.82,109.98,64
3443061,Chui,44.98,0,7.72,-33.7,-53.46,73
3461425,Ilhabela,70.32,84,5.14,-23.78,-45.36,87
4004885,Zitacuaro,63.0,100,4.56,19.44,-100.36,86
2036933,Helong,75.42,97,1.1,42.54,129.0,73
223816,Djibouti,93.2,20,4.7,11.5,42.5,49
5505411,Henderson,108.59,1,5.82,36.04,-114.98,7
1688781,City of San Pedro,84.54,68,4.7,14.35,121.02,83
3939761,Hualmay,58.53,12,9.86,-11.1,-77.61,83
1716397,Cuyo,83.12,78,7.83,10.85,121.01,73
